# Derived from FOAM 02 (Zenodo record 18242697, CC-BY-4.0): Caiazzo, Kraxberger, Adams, Wurzinger, Boysen, Petrone, Schoder, De Rosa, Kaltenbacher, Adams, "FOAM 02: A dataset of impedance tube measurements with different materials and diameter variations", Acta Acustica 9 (50), 2025, doi:10.1051/aacus/2025033.
# Derivation: mean and population sd of the measured absorption coefficient over the 36 alphas.csv rows whose one-hot targets select thickness=60mm, diameter=98mm, material=Basotect (all 4 angles x 3 specimens x 3 repetitions); frequency axis 150..1600 Hz step 2 per the dataset Read_Me. No digitization; machine-readable data only.
freq_hz	alpha_mean	alpha_sd
944	0.94938	0.01519
946	0.95009	0.01506
948	0.95064	0.01495
950	0.95111	0.01486
952	0.95168	0.01475
954	0.95229	0.01464
956	0.95285	0.01455
958	0.95340	0.01446
960	0.95398	0.01436
962	0.95447	0.01427
964	0.95502	0.01417
966	0.95549	0.01410
968	0.95603	0.01400
970	0.95659	0.01391
972	0.95709	0.01382
974	0.95753	0.01373
976	0.95799	0.01365
978	0.95861	0.01354
980	0.95906	0.01346
982	0.95948	0.01338
984	0.95995	0.01330
986	0.96046	0.01320
988	0.96098	0.01310
990	0.96141	0.01302
992	0.96183	0.01292
994	0.96232	0.01283
996	0.96275	0.01274
998	0.96321	0.01264
1000	0.96366	0.01256
1002	0.96404	0.01249
1004	0.96440	0.01242
1006	0.96478	0.01234
1008	0.96520	0.01226
1010	0.96555	0.01218
1012	0.96604	0.01208
1014	0.96641	0.01201
1016	0.96674	0.01192
1018	0.96714	0.01184
1020	0.96750	0.01176
1022	0.96789	0.01168
1024	0.96826	0.01160
1026	0.96864	0.01152
1028	0.96904	0.01143
1030	0.96940	0.01135
1032	0.96979	0.01125
1034	0.97013	0.01118
1036	0.97046	0.01109
1038	0.97083	0.01100
1040	0.97118	0.01092
1042	0.97152	0.01084
1044	0.97187	0.01075
1046	0.97219	0.01067
1048	0.97253	0.01060
1050	0.97283	0.01051
1052	0.97313	0.01043
1054	0.97348	0.01033
1056	0.97380	0.01026
1058	0.97410	0.01016
1060	0.97438	0.01009
1062	0.97471	0.00999
1064	0.97500	0.00992
1066	0.97531	0.00982
1068	0.97561	0.00974
1070	0.97589	0.00966
1072	0.97618	0.00957
1074	0.97647	0.00948
1076	0.97673	0.00940
1078	0.97699	0.00932
1080	0.97726	0.00924
1082	0.97751	0.00915
1084	0.97780	0.00907
1086	0.97806	0.00898
1088	0.97831	0.00891
1090	0.97858	0.00882
1092	0.97884	0.00874
1094	0.97906	0.00866
1096	0.97930	0.00858
1098	0.97955	0.00850
1100	0.97980	0.00842
1102	0.98005	0.00834
1104	0.98026	0.00828
1106	0.98049	0.00819
1108	0.98070	0.00812
1110	0.98092	0.00805
1112	0.98115	0.00797
1114	0.98136	0.00790
1116	0.98157	0.00784
1118	0.98179	0.00776
1120	0.98198	0.00770
