# Derived from FOAM 02 (Zenodo record 18242697, CC-BY-4.0): Caiazzo, Kraxberger, Adams, Wurzinger, Boysen, Petrone, Schoder, De Rosa, Kaltenbacher, Adams, "FOAM 02: A dataset of impedance tube measurements with different materials and diameter variations", Acta Acustica 9 (50), 2025, doi:10.1051/aacus/2025033.
# Derivation: mean and population sd of the measured absorption coefficient over the 36 alphas.csv rows whose one-hot targets select thickness=50mm, diameter=98mm, material=Pinta Plano Polar (all 4 angles x 3 specimens x 3 repetitions); frequency axis 150..1600 Hz step 2 per the dataset Read_Me. No digitization; machine-readable data only.
freq_hz	alpha_mean	alpha_sd
1166	0.90886	0.00575
1168	0.90942	0.00570
1170	0.91011	0.00569
1172	0.91064	0.00565
1174	0.91133	0.00571
1176	0.91172	0.00565
1178	0.91244	0.00569
1180	0.91297	0.00572
1182	0.91369	0.00563
1184	0.91439	0.00565
1186	0.91503	0.00562
1188	0.91589	0.00559
1190	0.91653	0.00564
1192	0.91725	0.00553
1194	0.91794	0.00548
1196	0.91853	0.00545
1198	0.91911	0.00544
1200	0.91978	0.00539
1202	0.92031	0.00549
1204	0.92081	0.00544
1206	0.92161	0.00539
1208	0.92217	0.00541
1210	0.92261	0.00539
1212	0.92328	0.00538
1214	0.92361	0.00539
1216	0.92428	0.00531
1218	0.92481	0.00538
1220	0.92550	0.00521
1222	0.92594	0.00539
1224	0.92664	0.00530
1226	0.92728	0.00533
1228	0.92753	0.00525
1230	0.92831	0.00535
1232	0.92872	0.00530
1234	0.92933	0.00527
1236	0.92992	0.00535
1238	0.93019	0.00526
1240	0.93083	0.00524
1242	0.93161	0.00524
1244	0.93203	0.00520
1246	0.93275	0.00521
1248	0.93325	0.00521
1250	0.93392	0.00523
1252	0.93453	0.00518
1254	0.93531	0.00518
1256	0.93572	0.00512
1258	0.93611	0.00518
1260	0.93639	0.00520
1262	0.93714	0.00516
1264	0.93689	0.00504
1266	0.93764	0.00512
1268	0.93819	0.00508
1270	0.93867	0.00514
1272	0.93858	0.00514
1274	0.93914	0.00503
1276	0.93931	0.00505
1278	0.93983	0.00509
1280	0.94039	0.00511
1282	0.94100	0.00509
1284	0.94161	0.00506
1286	0.94044	0.00519
1288	0.94094	0.00585
1290	0.94136	0.00573
1292	0.94253	0.00539
1294	0.94136	0.00601
1296	0.94186	0.00551
1298	0.94350	0.00505
1300	0.94400	0.00509
1302	0.94475	0.00504
1304	0.94519	0.00505
1306	0.94517	0.00496
1308	0.94600	0.00504
1310	0.94558	0.00490
1312	0.94647	0.00498
1314	0.94689	0.00494
1316	0.94733	0.00489
1318	0.94739	0.00491
1320	0.94808	0.00490
1322	0.94833	0.00494
1324	0.94917	0.00483
1326	0.94936	0.00487
1328	0.94942	0.00484
1330	0.95003	0.00482
1332	0.95028	0.00482
1334	0.95053	0.00471
1336	0.95081	0.00488
1338	0.95136	0.00481
1340	0.95172	0.00468
1342	0.95214	0.00474
1344	0.95236	0.00487
1346	0.95283	0.00473
1348	0.95311	0.00470
1350	0.95353	0.00476
1352	0.95372	0.00464
1354	0.95394	0.00470
1356	0.95439	0.00480
1358	0.95475	0.00462
1360	0.95489	0.00462
1362	0.95525	0.00477
1364	0.95558	0.00467
1366	0.95592	0.00460
1368	0.95628	0.00480
1370	0.95661	0.00471
1372	0.95689	0.00456
1374	0.95717	0.00465
1376	0.95744	0.00475
1378	0.95769	0.00458
1380	0.95806	0.00456
1382	0.95844	0.00474
1384	0.95872	0.00455
1386	0.95900	0.00448
1388	0.95931	0.00461
1390	0.95956	0.00466
1392	0.95972	0.00455
1394	0.96000	0.00453
1396	0.96033	0.00458
1398	0.96047	0.00456
1400	0.96086	0.00451
1402	0.96117	0.00452
1404	0.96144	0.00452
1406	0.96183	0.00447
1408	0.96197	0.00443
1410	0.96225	0.00446
1412	0.96247	0.00450
1414	0.96292	0.00447
1416	0.96306	0.00436
1418	0.96325	0.00435
1420	0.96350	0.00442
1422	0.96383	0.00436
1424	0.96397	0.00436
1426	0.96417	0.00435
1428	0.96456	0.00432
1430	0.96497	0.00425
1432	0.96506	0.00425
1434	0.96522	0.00439
1436	0.96550	0.00431
1438	0.96589	0.00419
1440	0.96611	0.00423
1442	0.96625	0.00430
1444	0.96636	0.00428
1446	0.96678	0.00422
1448	0.96694	0.00416
1450	0.96694	0.00416
1452	0.96711	0.00423
1454	0.96711	0.00422
1456	0.96731	0.00420
1458	0.96736	0.00416
1460	0.96756	0.00407
1462	0.96775	0.00405
1464	0.96783	0.00411
1466	0.96797	0.00407
1468	0.96808	0.00417
1470	0.96844	0.00400
1472	0.96864	0.00396
1474	0.96894	0.00409
1476	0.96897	0.00407
1478	0.96936	0.00401
1480	0.96956	0.00390
1482	0.96969	0.00391
1484	0.96994	0.00403
1486	0.97000	0.00406
1488	0.97022	0.00392
1490	0.97053	0.00380
1492	0.97069	0.00392
1494	0.97089	0.00395
1496	0.97094	0.00403
1498	0.97117	0.00394
1500	0.97128	0.00388
1502	0.97150	0.00377
1504	0.97169	0.00375
1506	0.97181	0.00384
1508	0.97194	0.00392
1510	0.97200	0.00388
1512	0.97233	0.00385
1514	0.97244	0.00375
1516	0.97256	0.00367
1518	0.97264	0.00379
1520	0.97272	0.00374
1522	0.97294	0.00381
1524	0.97308	0.00377
1526	0.97322	0.00366
1528	0.97331	0.00373
1530	0.97356	0.00366
1532	0.97367	0.00371
1534	0.97381	0.00368
1536	0.97397	0.00369
1538	0.97414	0.00362
1540	0.97428	0.00356
1542	0.97433	0.00352
1544	0.97456	0.00368
1546	0.97458	0.00365
1548	0.97503	0.00359
1550	0.97517	0.00359
1552	0.97533	0.00352
1554	0.97544	0.00357
1556	0.97572	0.00356
